name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Electomania Fishing Hat, Sun Cap, 360°UV Sun Protection, Summer Men Women Cap Removable Neck Face Mask Head for Gardening,...",sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51TFGPPQdRL._AC_UL320_.jpg,https://www.amazon.in/ELECTOMANIA-Protection-Removable-Gardening-Activities/dp/B07VTT3SD2/ref=sr_1_384?qid=1679217354&s=sports&sr=1-384,3.3,506,₹449,₹999
Nike Men's Regular Fit T-Shirt,sports & fitness,Running,https://m.media-amazon.com/images/I/71Skc3xzExL._AC_UL320_.jpg,https://www.amazon.in/Nike-Printed-Regular-T-Shirt-AR5005-657_Red/dp/B07NPGRCXJ/ref=sr_1_841?qid=1679217361&s=sports&sr=1-841,3.7,145,₹869,"₹1,295"
"ASIAN Men's Oxygen-04 Sports Running,Walking & Gym Shoes with Oxygen Technology & Lightweight Casual Sneaker Shoes for Me...",sports & fitness,Running,https://m.media-amazon.com/images/I/51g9kR0lvxL._AC_UL320_.jpg,https://www.amazon.in/ASIAN-Oxygen-04-Lightweight-Breathable-Materials/dp/B09QYSGYCV/ref=sr_1_842?qid=1679217361&s=sports&sr=1-842,3.7,145,₹913,"₹1,999"
"ASIAN Men's Prime-02 Sports Running Shoes Latest Stylish Casual Sneakers,Lace up Lightweight Shoes for Running, Walking, Gym",sports & fitness,Running,https://m.media-amazon.com/images/I/71hGKCBOVxL._AC_UL320_.jpg,https://www.amazon.in/ASIAN-Prime-02-Running-Training-Volleyball/dp/B07NDC6MWR/ref=sr_1_843?qid=1679217361&s=sports&sr=1-843,3.7,"5,003",₹543,₹999
Clovia Women's Padded Wirefree Medium Impact Full Cup Sports Bra,sports & fitness,Running,https://m.media-amazon.com/images/I/71h262knCvL._AC_UL320_.jpg,https://www.amazon.in/Clovia-Womens-Padded-Wirefree-BR2159P22_Pink_XL/dp/B08VD42ZVY/ref=sr_1_844?qid=1679217361&s=sports&sr=1-844,3.3,32,₹450,₹999
Denill Women Sports LACE UP Shoes,sports & fitness,Running,https://m.media-amazon.com/images/I/61aVC7bRYFL._AC_UL320_.jpg,https://www.amazon.in/Denill-Women-Sports-LACE-Shoes/dp/B09FJWW9T7/ref=sr_1_845?qid=1679217361&s=sports&sr=1-845,3.8,543,₹349,"₹1,499"
Sparx Mens Sm-375 Sneaker,sports & fitness,Running,https://m.media-amazon.com/images/I/71zFljxHt-L._AC_UL320_.jpg,https://www.amazon.in/Sparx-Trending-Footwear-Outdoor-Official/dp/B09HKXMLRR/ref=sr_1_846?qid=1679217361&s=sports&sr=1-846,4.1,148,₹769,"₹1,099"
SEGA mens Sport Shoe Petroleum Jelly,sports & fitness,Running,https://m.media-amazon.com/images/I/71GMl1aBkHL._AC_UL320_.jpg,https://www.amazon.in/SEGA-S-8-Walking-Shoes-Green/dp/B09HXDRBF7/ref=sr_1_847_mod_primary_new?qid=1679217361&s=sports&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-847,3.7,3,₹519,₹999
Alan Jones Clothing Women's Slim Fit Track Pant,sports & fitness,Running,https://m.media-amazon.com/images/I/61eZ9MgJtwL._AC_UL320_.jpg,https://www.amazon.in/Alan-Jones-Clothing-Joggers-WM19-JOG-ST01-BCK-XL_X-Large_Black/dp/B08973GKFT/ref=sr_1_848?qid=1679217361&s=sports&sr=1-848,4.1,"1,508",₹549,"₹1,299"
"BLINKIN Womens Stretchable Gym Track Pants for Women : Ideal Gym Wear, Joggers, Yoga Pants & Lower for Women Workout & Car...",sports & fitness,Running,https://m.media-amazon.com/images/I/61EyOxHH09L._AC_UL320_.jpg,https://www.amazon.in/BLINKIN-Regular-Trackpants-TRK-60-BLack-White-32_Black-White_32/dp/B08CBM757X/ref=sr_1_849?qid=1679217361&s=sports&sr=1-849,4.0,245,₹299,"₹1,680"
